Timestamp,Strategy,Action,Symbol,Direction,Price,Underlying_Price,ADX,VWAP,ORB_High,ORB_Low,Breadth,Reason,Profit_Pct,Dollar_PnL,ADX_Slope,Peak_Pct,Max_Adverse_Pct,Conviction,Commission,PermId,Gflip,Dist_Gflip_Pct,Net_GEX_Total_M,Net_GEX_0DTE_M,Call_Ladder,Put_Ladder,Setup_Tag
2026-08-17 10:00:19,gex,BUY,SPX,PUT,8.6,7773.27,,,7790.68,7774.12,,GEX PUT: neg-γ (spot<Gflip) | close 7773.27 < OR-level 7774.12 | 2-bar accel ↓,,,,,,,1.63,137161803,7777.52,-0.055%,-3721,-5872,7800|7810|7805,7755|7740|7750,Runway
2026-08-17 14:25:59,gex,SELL,SPX,PUT,17.4,,,,,,,Manual close via IBKR — bot auto-close blocked by close-path tick bug (#SL-CLOSE); reconciled from permId 2083350234,102.33%,880.00,,,,,1.63,2083350234,,,,,,,
2026-08-18 10:13:41,gex,BUY,SPX,PUT,10.0,7697.00,,,7713.95,7698.76,,GEX PUT: neg-γ (spot<Gflip) | close 7697.00 < OR-level 7698.76 | 2-bar accel ↓,,,,,,,1.63,2386005,7768.29,-0.918%,-37629,-23432,7800|7775|7785,7720|7700|7635,IntoWall
2026-08-18 13:10:29,gex,SELL,SPX,PUT,2.0,7706.56,13.66,768.58,7713.95,7698.76,,Catastrophe stop: lost 80%,-80.00%,-800.00,,4.00%,,,3.26,2386006,,,,,,,
2026-08-19 09:50:25,gex,BUY,SPX,PUT,13.8,7706.63,,,7726.29,7711.62,,GEX PUT: neg-γ (spot<Gflip) | close 7706.63 < OR-level 7711.62 | 2-bar accel ↓,,,,,,,1.63,1398125666,7732.80,-0.338%,-15892,-8341,7760|7725|7730,7720|7685|7650,IntoWall
2026-08-19 10:54:21,gex,SELL,SPX,PUT,2.65,7733.51,28.17,7730.21,7726.29,7700.07,,Catastrophe stop: lost 81%,-80.80%,-1115.00,,28.26%,,,3.26,1398125667,,,,,,,
2026-08-20 10:17:07,gex,BUY,SPX,PUT,12.8,7675.24,,,7697.20,7679.11,,GEX PUT: neg-γ (spot<Gflip) | close 7675.24 < OR-level 7679.11 | 2-bar accel ↓,,,,,,,1.63,1355346907,7728.49,-0.689%,-37663,-20680,7775|7755|7760,7650|7640|7645,Runway
2026-08-20 14:12:13,gex,SELL,SPX,PUT,20.9,7654.04,46.42,7657.57,7697.20,7679.11,,"Trailing stop: peaked +79%, gave back to +63% (trail +63%)",63.28%,810.00,,79.30%,,,3.26,1355346908,,,,,,,
