timestamp,symbol,spot,gflip,strike,oi_call,oi_put,iv,T
2026-09-09 09:28:41,SPX,7673.52,7696.74,7675.0,1180,4660,0.1527,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7670.0,891,1415,0.1534,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7680.0,1105,2012,0.1521,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7665.0,276,1645,0.1544,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7685.0,1147,1553,0.1538,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7660.0,207,1866,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7690.0,1384,1025,0.1557,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7655.0,188,1969,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7695.0,2247,4114,0.1584,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7650.0,1323,3219,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7700.0,3035,2998,0.1618,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7645.0,222,1156,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7705.0,1268,645,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7640.0,1324,1688,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7710.0,1937,500,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7635.0,1364,2167,0.1677,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7715.0,1610,320,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7630.0,237,5142,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7720.0,2750,0,0.15,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7625.0,1563,4124,0.1728,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7620.0,267,3866,0.1757,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7730.0,5603,0,0.1796,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7615.0,32,1310,0.1794,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7735.0,3224,160,0.1844,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7610.0,56,1508,0.1826,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7740.0,2657,202,0.1898,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7605.0,91,1074,0.1857,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7745.0,1890,211,0.1957,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7600.0,1072,5151,0.1913,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7750.0,4359,1088,0.202,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7595.0,32,2707,0.1967,0.000744
2026-09-09 09:28:41,SPX,7673.52,7696.74,7755.0,2061,260,0.2084,0.000744
