timestamp,symbol,spot,gflip,strike,oi_call,oi_put,iv,T
2026-09-14 08:52:38,SPX,7656.98,7654.45,7650.0,2328,2140,0.1661,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7665.0,1125,984,0.1698,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7645.0,338,1275,0.1655,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7670.0,1245,716,0.1721,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7640.0,407,890,0.1656,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7675.0,3444,1867,0.1751,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7635.0,261,755,0.1667,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7680.0,2948,1779,0.1787,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7630.0,269,1151,0.1684,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7685.0,796,272,0.1829,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7625.0,492,1894,0.171,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7690.0,1113,270,0.1876,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7710.0,1629,230,0.2098,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7600.0,1069,4496,0.1862,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7715.0,3168,78,0.2156,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7595.0,255,978,0.19,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7720.0,6710,0,0.2213,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7590.0,97,1818,0.1942,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7580.0,96,0,0.2008,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7735.0,2667,0,0.2395,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7740.0,0,89,0.2462,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7745.0,0,54,0.2532,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7565.0,73,1290,0.213,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7750.0,3036,396,0.2601,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7560.0,66,2432,0.2175,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7755.0,1674,33,0.2666,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7555.0,41,2475,0.2223,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7760.0,4448,105,0.2726,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7550.0,61,5411,0.2245,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7765.0,1301,46,0.2779,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7545.0,27,4407,0.2289,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7770.0,1587,111,0.2824,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7540.0,25,1517,0.2328,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7775.0,6475,70,0.2861,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7535.0,13,2818,0.2381,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7780.0,8118,89,0.289,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7530.0,51,3495,0.2428,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7785.0,8660,32,0.2911,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7525.0,64,5429,0.245,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7790.0,3394,73,0.2926,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7520.0,38,2095,0.2497,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7795.0,599,3,0.2933,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7515.0,30,892,0.2548,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7800.0,4155,299,0.2936,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7510.0,78,801,0.2602,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7805.0,3131,8,0.2933,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7505.0,6,1667,0.2641,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7810.0,1254,27,0.2927,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7500.0,134,9425,0.267,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7815.0,483,4,0.2918,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7495.0,4,488,0.2709,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7820.0,1135,83,0.2908,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7490.0,21,806,0.2756,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7825.0,3742,49,0.2897,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7485.0,4,1294,0.2808,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7830.0,452,12,0.2884,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7480.0,44,954,0.2863,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7835.0,413,0,0.2872,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7475.0,44,2221,0.2922,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7840.0,670,13,0.2859,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7470.0,7,2414,0.2984,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7845.0,1762,1,0.2847,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7465.0,1,1379,0.3046,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7850.0,18075,37,0.2834,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7460.0,6,2276,0.3109,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7855.0,285,0,0.2821,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7455.0,2,958,0.3171,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7860.0,1526,3,0.2808,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7450.0,22,3029,0.3233,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7865.0,3507,1,0.2795,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7445.0,0,297,0.3295,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7870.0,1472,7,0.2781,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7440.0,0,6015,0.3356,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7875.0,1671,7,0.2767,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7435.0,0,1279,0.3417,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7880.0,3027,3,0.2752,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7430.0,9,475,0.3479,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7885.0,247,0,0.2737,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7425.0,34,7642,0.3541,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7890.0,381,0,0.2722,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7420.0,7,844,0.3604,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7895.0,221,0,0.2706,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7415.0,0,320,0.3668,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7900.0,4369,135,0.2691,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7410.0,30,1280,0.3733,0.000813
2026-09-14 08:52:38,SPX,7656.98,7654.45,7655.0,256,257,0.1312,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7660.0,332,304,0.1307,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7650.0,1180,2458,0.1321,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7665.0,309,449,0.1304,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7645.0,108,293,0.1333,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7670.0,301,552,0.1302,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7640.0,190,538,0.1347,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7675.0,1667,1631,0.1301,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7635.0,88,410,0.1363,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7680.0,383,560,0.13,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7630.0,159,521,0.1381,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7685.0,276,695,0.13,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7625.0,148,1093,0.1399,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7690.0,413,299,0.13,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7620.0,86,3068,0.1415,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7695.0,266,183,0.1301,0.00355
2026-09-14 08:52:38,SPX,7656.98,7654.45,7615.0,123,2373,0.1432,0.00355
