timestamp,symbol,spot,gflip,dist_pts,dist_pct,regime,call_wall,put_wall,in_position
2026-09-17 15:10:22,SPX,7639.7,7603.22,36.48,0.4798,positive,7700,7550,0
2026-09-17 15:15:26,SPX,7639.63,7603.22,36.41,0.4789,positive,7700,7550,0
2026-09-17 15:20:30,SPX,7640.44,7603.21,37.23,0.4896,positive,7700,7550,0
2026-09-17 15:25:34,SPX,7637.95,7603.2,34.75,0.4571,positive,7700,7550,0
2026-09-17 15:30:38,SPX,7638.05,7603.2,34.85,0.4583,positive,7700,7550,0
2026-09-17 15:37:43,SPX,7640.87,7600.37,40.5,0.5329,positive,7700,7550,0
2026-09-17 15:40:47,SPX,7640.47,7600.37,40.1,0.5276,positive,7700,7550,0
2026-09-17 15:45:51,SPX,7641.17,7600.37,40.8,0.5368,positive,7700,7550,0
2026-09-17 15:50:55,SPX,7642.39,7600.36,42.03,0.553,positive,7700,7550,0
2026-09-17 15:55:59,SPX,7642.21,7600.36,41.85,0.5506,positive,7700,7550,0
